Calu-6	HTB-56		atcc	CellLine
CAMA-1	HTB-21		atcc	CellLine
Caov-3	HTB-75		atcc	CellLine
Caov-4	HTB-76		atcc	CellLine
Capan-1	HTB-79		atcc	CellLine
Capan-2	HTB-80		atcc	CellLine
CAR47	CRL-3235		atcc	CellLine
Cates-1B	HTB-104		atcc	CellLine
CCD 1102 KERTr	CRL-2310		atcc	CellLine
CCD 1103 KIDTr	CRL-2304		atcc	CellLine
CCD 1105 KIDTr	CRL-2305		atcc	CellLine
CCD 1106 KERTr	CRL-2309		atcc	CellLine
CCD 1108Sk	CRL-2352		atcc	CellLine
CCD 18Lu	CCL-205		atcc	CellLine
CCD 841 CoN	CRL-1790		atcc	CellLine
CCD 841 CoTr	CRL-1807		atcc	CellLine
CCD-1058Sk	CRL-2071		atcc	CellLine
CCD-1059Sk	CRL-2072		atcc	CellLine
CCD-1064Sk	CRL-2076		atcc	CellLine
CCD-1065Sk	CRL-2077		atcc	CellLine
CCD-1068Sk	CRL-2086		atcc	CellLine
CCD-1069Sk	CRL-2089		atcc	CellLine
CCD-1070Sk	CRL-2091		atcc	CellLine
CCD-1072Sk	CRL-2088		atcc	CellLine
CCD-1074Sk	CRL-2090		atcc	CellLine
CCD-1076Sk	CRL-2096		atcc	CellLine
CCD-1077Sk	CRL-2094		atcc	CellLine
CCD-1079Sk	CRL-2097		atcc	CellLine
CCD-1086Sk	CRL-2103		atcc	CellLine
CCD-1087Sk	CRL-2104		atcc	CellLine
CCD-1090Sk	CRL-2106		atcc	CellLine
CCD-1092Sk	CRL-2114		atcc	CellLine
CCD-1093Sk	CRL-2115		atcc	CellLine
CCD-1094Sk	CRL-2120		atcc	CellLine
CCD-1095Sk	CRL-2122		atcc	CellLine
CCD-1096Sk	CRL-2129		atcc	CellLine
CCD-1097Sk	CRL-2124		atcc	CellLine
CCD-1098Sk	CRL-2127		atcc	CellLine
CCD-1099Sk	CRL-2201		atcc	CellLine
CCD-1100Sk	CRL-2211		atcc	CellLine
CCD-1101Sk	CRL-2281		atcc	CellLine
CCD-1109Sk	CRL-2361		atcc	CellLine
CCD-1112Sk	CRL-2429		atcc	CellLine
CCD-1113Sk	CRL-2439		atcc	CellLine
CCD-1114Sk	CRL-2450		atcc	CellLine
CCD-1117Sk	CRL-2465		atcc	CellLine
CCD-1118Sk	CRL-2466		atcc	CellLine
CCD-1120Sk	CRL-2510		atcc	CellLine
CCD-1121Sk	CRL-2511		atcc	CellLine
CCD-1122Sk	CRL-2513		atcc	CellLine
CCD-1123Sk	CRL-2524		atcc	CellLine
CCD-1124Sk	CRL-2529		atcc	CellLine
CCD-1126Sk	CRL-2564		atcc	CellLine
CCD-1127Sk	CRL-2565		atcc	CellLine
CCD-1128Sk	CRL-2566		atcc	CellLine
CCD-1129SK	CRL-2575		atcc	CellLine
CCD-112CoN	CRL-1541		atcc	CellLine
CCD-1131Sk	CRL-2617		atcc	CellLine
CCD-1132Sk	CRL-2622		atcc	CellLine
CCD-1134Sk	CRL-2673		atcc	CellLine
CCD-1135Sk	CRL-2691		atcc	CellLine
CCD-1136Sk	CRL-2697		atcc	CellLine
CCD-1137Sk	CRL-2703		atcc	CellLine
CCD-1138Sk	CRL-2707		atcc	CellLine
CCD-1139Sk	CRL-2708		atcc	CellLine
CCD-1140Sk	CRL-2714		atcc	CellLine
CCD-1141Sk	CRL-2796		atcc	CellLine
CCD-11Lu	CCL-202		atcc	CellLine
CCD-13Lu	CCL-200		atcc	CellLine
CCD-16Lu	CCL-204		atcc	CellLine
CCD-186Sk	CRL-1563		atcc	CellLine
